,MouseID,Tissue,Treatment,Age,Class,Frequency
291,JW21-NP,Hi,SS31,Old,Total_InDel_Freq,3.2360884532157e-07
292,JW21-R,Hi,SS31,Old,Total_InDel_Freq,1.21578635041371e-06
293,JW22-LF,Hi,SS31,Old,Total_InDel_Freq,4.0809188420569e-07
294,JW22-NP,Hi,SS31,Old,Total_InDel_Freq,3.8172845134031e-07
295,JW55-RB,Hi,SS31,Old,Total_InDel_Freq,3.5604506412979e-07
296,JW21-NP,K,SS31,Old,Total_InDel_Freq,3.10230653536327e-06
297,JW21-R,K,SS31,Old,Total_InDel_Freq,1.85173606982191e-06
298,JW22-LF,K,SS31,Old,Total_InDel_Freq,8.9018009130714e-07
299,JW22-NP,K,SS31,Old,Total_InDel_Freq,7.7593589673277e-07
300,JW55-RB,K,SS31,Old,Total_InDel_Freq,5.6432258795965e-07
301,JW21-NP,L,SS31,Old,Total_InDel_Freq,2.78942436750949e-06
302,JW21-R,L,SS31,Old,Total_InDel_Freq,2.01768256332024e-06
303,JW22-LF,L,SS31,Old,Total_InDel_Freq,7.4428872861388e-07
304,JW22-NP,L,SS31,Old,Total_InDel_Freq,6.2505672534472e-07
305,JW55-RB,L,SS31,Old,Total_InDel_Freq,8.5314156530981e-07
306,JW21-NP,M,SS31,Old,Total_InDel_Freq,1.5593550545297e-06
307,JW21-R,M,SS31,Old,Total_InDel_Freq,1.61575933417789e-06
308,JW22-LF,M,SS31,Old,Total_InDel_Freq,4.409792157676e-07
309,JW22-NP,M,SS31,Old,Total_InDel_Freq,5.2003295948504e-07
310,JW55-RB,M,SS31,Old,Total_InDel_Freq,5.3722707839809e-07
311,JW21-NP,R,SS31,Old,Total_InDel_Freq,4.3773759119716e-07
312,JW21-R,R,SS31,Old,Total_InDel_Freq,1.14772723151343e-06
313,JW22-LF,R,SS31,Old,Total_InDel_Freq,3.1522856711155e-07
314,JW22-NP,R,SS31,Old,Total_InDel_Freq,2.9545270223257e-07
315,JW55-RB,R,SS31,Old,Total_InDel_Freq,3.3269896038276e-07
316,JW27-LB,C,NMN,Old,Total_InDel_Freq,7.6875666678012e-07
317,JW29-R,C,NMN,Old,Total_InDel_Freq,7.5629020745986e-07
318,JW30-LF,C,NMN,Old,Total_InDel_Freq,8.013505792162e-07
319,JW27-LB,RC,NMN,Old,Total_InDel_Freq,1.99298972671976e-06
320,JW29-R,RC,NMN,Old,Total_InDel_Freq,2.06630240178764e-06
321,JW30-LF,RC,NMN,Old,Total_InDel_Freq,4.8276054063387e-07
322,JW27-LB,He,NMN,Old,Total_InDel_Freq,2.6297615119376e-07
323,JW29-R,He,NMN,Old,Total_InDel_Freq,7.0133976282483e-07
324,JW30-LF,He,NMN,Old,Total_InDel_Freq,3.2640509018812e-07
325,JW27-LB,Hi,NMN,Old,Total_InDel_Freq,4.5170253120773e-07
326,JW29-R,Hi,NMN,Old,Total_InDel_Freq,1.13625786108639e-06
327,JW30-LF,Hi,NMN,Old,Total_InDel_Freq,3.9628932102244e-07
328,JW27-LB,K,NMN,Old,Total_InDel_Freq,3.35324295937104e-06
329,JW29-R,K,NMN,Old,Total_InDel_Freq,2.58704292951505e-06
330,JW30-LF,K,NMN,Old,Total_InDel_Freq,2.33640469401368e-06
331,JW27-LB,L,NMN,Old,Total_InDel_Freq,6.2352751342292e-07
332,JW29-R,L,NMN,Old,Total_InDel_Freq,2.2359863311152e-06
333,JW30-LF,L,NMN,Old,Total_InDel_Freq,2.51841035219304e-06
334,JW27-LB,M,NMN,Old,Total_InDel_Freq,4.7311781496259e-07
335,JW29-R,M,NMN,Old,Total_InDel_Freq,1.73115388935871e-06
336,JW30-LF,M,NMN,Old,Total_InDel_Freq,1.76941599835169e-06
337,JW27-LB,R,NMN,Old,Total_InDel_Freq,1.02982446307334e-06
338,JW29-R,R,NMN,Old,Total_InDel_Freq,8.9750493627715e-07
339,JW30-LF,R,NMN,Old,Total_InDel_Freq,1.07342673612954e-06
340,YM13-MS,C,NT,Young,A>T/T>A,4.01387459977406e-08
341,YM14-MS,C,NT,Young,A>T/T>A,2.261688050456e-08
342,YM3-MS,C,NT,Young,A>T/T>A,2.71127046392386e-08
343,YM5-MS,C,NT,Young,A>T/T>A,1.56109555063103e-08
344,YM7-MS,C,NT,Young,A>T/T>A,3.2189312816595e-08
345,YM13-MS,RC,NT,Young,A>T/T>A,0.0
346,YM14-MS,RC,NT,Young,A>T/T>A,4.63968213104683e-08
347,YM3-MS,RC,NT,Young,A>T/T>A,1.5056190077775e-08
348,YM5-MS,RC,NT,Young,A>T/T>A,6.10923916810704e-08
